All the (i , j) couples found by order followd by the value of the window:

(33370 , 33539) : 0x13252    The Gfunc we coded: 10001011011001001
(33638 , 33755) : 0x1E6D5    The Gfunc we coded: 10001010111101111
(34250 , 34417) : 0x199C9    The Gfunc we coded: 10001011010111101

(35416 , 35610) : 0x12A7D    The Gfunc we coded: 10001011100100111
(36219 , 36318) : 0x36B7C    The Gfunc we coded: 10001010110111101
(36342 , 36427) : 0x3C9CE    The Gfunc we coded: 10001010110011011

(37253 , 37287) : 0x26B97    The Gfunc we coded: 10001010011101011
(37786 , 37834) : 0x1293B    The Gfunc we coded: 10001010100101101
(38099 , 38208) : 0x2FAA7    The Gfunc we coded: 10001010111011011

(38149 , 38360) : 0x24A5E    The Gfunc we coded: 10001011101010101
(38824 , 38890) : 0x327A5    The Gfunc we coded: 10001010101011101
(39322 , 39557) : 0x1CA66    The Gfunc we coded: 10001011110011101

(39953 , 40067) : 0x24F26    The Gfunc we coded: 10001010111101001
(40006 , 40190) : 0x2A64E    The Gfunc we coded: 10001011011101101
(40310 , 40394) : 0x1C9E7    The Gfunc we coded: 10001010110011001

(40378 , 40476) : 0x29B26    The Gfunc we coded: 10001010110111011
(40697 , 40880) : 0x29D32    The Gfunc we coded: 10001011011101011
(40844 , 41021) : 0x2676F    The Gfunc we coded: 10001011011011011

(41224 , 41434) : 0x164E5    The Gfunc we coded: 10001011101010011
(41345 , 41504) : 0x2724A    The Gfunc we coded: 10001011010101011
(42310 , 42363) : 0x3393D    The Gfunc we coded: 10001010100111001

(42539 , 42571) : 0x1C937    The Gfunc we coded: 10001010011100111
(42743 , 42913) : 0x2496A    The Gfunc we coded: 10001011011001011
(43360 , 43546) : 0x3B33B    The Gfunc we coded: 10001011011110011

(43765 , 43806) : 0x39D59    The Gfunc we coded: 10001010011111011
(44058 , 44135) : 0x29392    The Gfunc we coded: 10001010101111001
(44116 , 44177) : 0x27252    The Gfunc we coded: 10001010101010011

(44049 , 44186) : 0x14F49    The Gfunc we coded: 10001011001100111
(44441 , 44667) : 0x249B3    The Gfunc we coded: 10001011101111001
(45310 , 45383) : 0x24949    The Gfunc we coded: 10001010101101111

(45240 , 45399) : 0x359B2    The Gfunc we coded: 10001011010101011
(45643 , 45683) : 0x127CA    The Gfunc we coded: 10001010011111001
(46483 , 46556) : 0x2D392    The Gfunc we coded: 10001010101101111

(47168 , 47278) : 0x37999    The Gfunc we coded: 10001010111011101
(47330 , 47542) : 0x13F49    The Gfunc we coded: 10001011101010111
(47577 , 47708) : 0x27252    The Gfunc we coded: 10001011001010111

(48353 , 48368) : 0x3A49F    The Gfunc we coded: 10001010010110111
(48263 , 48371) : 0x14B77    The Gfunc we coded: 10001010111011001
(49350 , 49470) : 0x39D27    The Gfunc we coded: 10001010111110111

(49598 , 49832) : 0x339A4    The Gfunc we coded: 10001011110011011
(50050 , 50143) : 0x26F34    The Gfunc we coded: 10001010110101111
(51774 , 51985) : 0x3B5CB    The Gfunc we coded: 10001011101010101

(52388 , 52615) : 0x1294A    The Gfunc we coded: 10001011101111011
(52885 , 53024) : 0x25E5D    The Gfunc we coded: 10001011001101011
(53323 , 53404) : 0x1999D    The Gfunc we coded: 10001010110010011

(53679 , 53710) : 0x1CF3B    The Gfunc we coded: 10001010011100101
(54558 , 54622) : 0x1ECA4    The Gfunc we coded: 10001010101011001
(55058 , 55105) : 0x24C94    The Gfunc we coded: 10001010100101011

(54950 , 55127) : 0x32592    The Gfunc we coded: 10001011011011011
(55352 , 55374) : 0x1FF9B    The Gfunc we coded: 10001010011001101
(55223 , 55386) : 0x1BB33    The Gfunc we coded: 10001011010110101

(56049 , 56272) : 0x33749    The Gfunc we coded: 10001011101110011
(56139 , 56318) : 0x192E7    The Gfunc we coded: 10001011011011111
(56486 , 56553) : 0x3B993    The Gfunc we coded: 10001010101011111

(56526 , 56689) : 0x1D4E9    The Gfunc we coded: 10001011010110101
(57578 , 57668) : 0x3364C    The Gfunc we coded: 10001010110101001
(57792 , 57884) : 0x39593    The Gfunc we coded: 10001010110101101

(57658 , 57874) : 0x3EC8A    The Gfunc we coded: 10001011101011111
(57977 , 58005) : 0x19649    The Gfunc we coded: 10001010011011011
(57982 , 58205) : 0x2C929    The Gfunc we coded: 10001011101110011

(58214 , 58387) : 0x1CF99    The Gfunc we coded: 10001011011010011
(58430 , 58525) : 0x29332    The Gfunc we coded: 10001010110110101
(58659 , 58747) : 0x14A99    The Gfunc we coded: 10001010110100101

(58839 , 59028) : 0x12539    The Gfunc we coded: 10001011011111001
(59266 , 59504) : 0x39693    The Gfunc we coded: 10001011110100111
(59432 , 59520) : 0x34B32    The Gfunc we coded: 10001010110100101

(60581 , 60596) : 0x12672    The Gfunc we coded: 10001010010110111
(61815 , 61859) : 0x3DE92    The Gfunc we coded: 10001010100100101
(61866 , 61886) : 0x12565    The Gfunc we coded: 10001010011001001

(61824 , 61914) : 0x1259A    The Gfunc we coded: 10001010110101001
(62576 , 62790) : 0x379C9    The Gfunc we coded: 10001011101011011
(62977 , 63195) : 0x2734D    The Gfunc we coded: 10001011101100111

(63366 , 63505) : 0x3F9F9    The Gfunc we coded: 10001011001101011
(63392 , 63546) : 0x24CFE    The Gfunc we coded: 10001011010011101
(63531 , 63655) : 0x27494    The Gfunc we coded: 10001010111111111

(64364 , 64575) : 0x192F3    The Gfunc we coded: 10001011101010101
(64684 , 64885) : 0x33249    The Gfunc we coded: 10001011100110111
(64831 , 65013) : 0x12495    The Gfunc we coded: 10001011011101001

(64893 , 65128) : 0x26FF3    The Gfunc we coded: 10001011110011101
(65060 , 65255) : 0x2CF92    The Gfunc we coded: 10001011100101001
Number of bits in the new word: 65366
