All the (i , j) couples found by order followd by the value of the window:
(39649 , 39675) : 0x24E6B    The Gfunc we coded: 10001010011010111

(39950 , 40077) : 0x24933    The Gfunc we coded: 10001011001001101
(40239 , 40290) : 0x194E5    The Gfunc we coded: 10001010100110101
(41060 , 41179) : 0x13B92    The Gfunc we coded: 10001010111110101

(41350 , 41505) : 0x3266A    The Gfunc we coded: 10001011010011111
(41599 , 41765) : 0x332E7    The Gfunc we coded: 10001011010111011
(41676 , 41823) : 0x24F93    The Gfunc we coded: 10001011001111101

(41882 , 41975) : 0x275D2    The Gfunc we coded: 10001010110101111
(41954 , 42004) : 0x136E4    The Gfunc we coded: 10001010100110011
(42149 , 42152) : 0x12492    The Gfunc we coded: 10001010010011001

(42105 , 42315) : 0x2C94B    The Gfunc we coded: 10001011101010011
(42223 , 42459) : 0x12525    The Gfunc we coded: 10001011110011111
(43754 , 43872) : 0x3CF9F    The Gfunc we coded: 10001010111110011

(44704 , 44795) : 0x19527    The Gfunc we coded: 10001010110101011
(44709 , 44919) : 0x2A4E4    The Gfunc we coded: 10001011101010011
(45161 , 45391) : 0x2F4D9    The Gfunc we coded: 10001011110010011

(46038 , 46082) : 0x24CB7    The Gfunc we coded: 10001010100100101
(46305 , 46403) : 0x39699    The Gfunc we coded: 10001010110111011
(47400 , 47457) : 0x3F2C9    The Gfunc we coded: 10001010101001001

(47477 , 47662) : 0x1DDE5    The Gfunc we coded: 10001011011101111
(47728 , 47793) : 0x164E9    The Gfunc we coded: 10001010101011011
(47877 , 47959) : 0x26949    The Gfunc we coded: 10001010110010101

(47869 , 48063) : 0x12E69    The Gfunc we coded: 10001011100100111
(49480 , 49548) : 0x3E92D    The Gfunc we coded: 10001010101100101
(49464 , 49636) : 0x27273    The Gfunc we coded: 10001011011001111

(49585 , 49771) : 0x26497    The Gfunc we coded: 10001011011110011
(49693 , 49916) : 0x2E4C9    The Gfunc we coded: 10001011101110011
(49959 , 49994) : 0x24F93    The Gfunc we coded: 10001010011101101

(50000 , 50107) : 0x2769E    The Gfunc we coded: 10001010111010111
(50270 , 50395) : 0x136CB    The Gfunc we coded: 10001011001001001
(51039 , 51249) : 0x33399    The Gfunc we coded: 10001011101010011

(51285 , 51512) : 0x12726    The Gfunc we coded: 10001011101111011
(51441 , 51550) : 0x3A6AC    The Gfunc we coded: 10001010111011011
(51661 , 51716) : 0x2993A    The Gfunc we coded: 10001010100111101

(52216 , 52275) : 0x15369    The Gfunc we coded: 10001010101001101
(52587 , 52669) : 0x1267E    The Gfunc we coded: 10001010110010101
(52921 , 52970) : 0x19C92    The Gfunc we coded: 10001010100101111

(53892 , 54070) : 0x12D92    The Gfunc we coded: 10001011011011101
(54440 , 54673) : 0x2A595    The Gfunc we coded: 10001011110011001
(54760 , 54828) : 0x1C93A    The Gfunc we coded: 10001010101100101

(55333 , 55448) : 0x269FC    The Gfunc we coded: 10001010111101011
(55631 , 55650) : 0x339F9    The Gfunc we coded: 10001010010111111
(55569 , 55733) : 0x2666D    The Gfunc we coded: 10001011010110111

(55564 , 55795) : 0x29333    The Gfunc we coded: 10001011110010101
(56701 , 56928) : 0x25999    The Gfunc we coded: 10001011101111011
(57133 , 57322) : 0x24D2D    The Gfunc we coded: 10001011011111001

(58525 , 58558) : 0x24BF3    The Gfunc we coded: 10001010011101001
(58513 , 58680) : 0x264A4    The Gfunc we coded: 10001011010111101
(58783 , 58820) : 0x19369    The Gfunc we coded: 10001010011110011

(58927 , 58951) : 0x276DE    The Gfunc we coded: 10001010011010011
(59105 , 59114) : 0x192C9    The Gfunc we coded: 10001010010101001
(59066 , 59127) : 0x25293    The Gfunc we coded: 10001010101010011

(59615 , 59652) : 0x33277    The Gfunc we coded: 10001010011110011
(59607 , 59706) : 0x24F32    The Gfunc we coded: 10001010110111101
(59691 , 59720) : 0x2A664    The Gfunc we coded: 10001010011011101

(59813 , 59840) : 0x1925F    The Gfunc we coded: 10001010011011001
(59755 , 59908) : 0x25969    The Gfunc we coded: 10001011010011011
(59857 , 59967) : 0x3D27A    The Gfunc we coded: 10001010111011101

(60181 , 60205) : 0x127E9    The Gfunc we coded: 10001010011010011
(60415 , 60604) : 0x2D493    The Gfunc we coded: 10001011011111001
(61088 , 61175) : 0x32C9B    The Gfunc we coded: 10001010110011111

(62012 , 62198) : 0x393BD    The Gfunc we coded: 10001011011110011
(62244 , 62309) : 0x29939    The Gfunc we coded: 10001010101011011
(62542 , 62627) : 0x1C94D    The Gfunc we coded: 10001010110011011

(62556 , 62763) : 0x352A6    The Gfunc we coded: 10001011101001011
(62697 , 62821) : 0x39499    The Gfunc we coded: 10001010111111111
(62846 , 62918) : 0x27B27    The Gfunc we coded: 10001010101101101

(63287 , 63310) : 0x14E49    The Gfunc we coded: 10001010011001111
(63163 , 63333) : 0x273AD    The Gfunc we coded: 10001011011001011
(63416 , 63567) : 0x33CC9    The Gfunc we coded: 10001011010010111

(63936 , 63958) : 0x249CD    The Gfunc we coded: 10001010011001101
(63926 , 64044) : 0x2A492    The Gfunc we coded: 10001010111110011
(64247 , 64428) : 0x2692A    The Gfunc we coded: 10001011011100111

(64468 , 64530) : 0x2664E    The Gfunc we coded: 10001010101010101
(64782 , 64864) : 0x33964    The Gfunc we coded: 10001010110010101
(65137 , 65175) : 0x14B4F    The Gfunc we coded: 10001010011110101

(65121 , 65206) : 0x2B269    The Gfunc we coded: 10001010110011011
Number of bits in the new word: 65370
